Symbol,Date,Close
AMZN,10/1/2012,252.01
AMZN,10/2/2012,250.6
AMZN,10/3/2012,255.92
AMZN,10/4/2012,260.47
AMZN,10/5/2012,258.51
AMZN,10/8/2012,259.06
AMZN,10/9/2012,250.96
AMZN,10/10/2012,244.99
AMZN,10/11/2012,244.22
AMZN,10/12/2012,242.36
AMZN,10/15/2012,244.18
AMZN,10/16/2012,243.94
AMZN,10/17/2012,247.49
AMZN,10/18/2012,244.85
AMZN,10/19/2012,240
AMZN,10/22/2012,233.78
AMZN,10/23/2012,234.31
AMZN,10/24/2012,228.49
AMZN,10/25/2012,222.92
AMZN,10/26/2012,238.24
AMZN,10/31/2012,232.89
AMZN,11/1/2012,232.14
AMZN,11/2/2012,232.42
AMZN,11/5/2012,234.33
AMZN,11/6/2012,237.56
AMZN,11/7/2012,232.06
AMZN,11/8/2012,227.35
AMZN,11/9/2012,226.31
AMZN,11/12/2012,226.47
AMZN,11/13/2012,226.6
AMZN,11/14/2012,222.95
AMZN,11/15/2012,220.6
AMZN,11/16/2012,225.23
AMZN,11/19/2012,229.71
AMZN,11/20/2012,233.78
AMZN,11/21/2012,238.03
AMZN,11/23/2012,239.88
AMZN,11/26/2012,243.62
AMZN,11/27/2012,243.4
AMZN,11/28/2012,247.11
AMZN,11/29/2012,251.27
AMZN,11/30/2012,252.05
AMZN,12/3/2012,250.33
AMZN,12/4/2012,252.49
AMZN,12/5/2012,253.96
AMZN,12/6/2012,253.37
AMZN,12/7/2012,253.27
AMZN,12/10/2012,247.77
AMZN,12/11/2012,250.69
AMZN,12/12/2012,251.76
AMZN,12/13/2012,251.25
AMZN,12/14/2012,249.19
AMZN,12/17/2012,253.86
AMZN,12/18/2012,260.4
AMZN,12/19/2012,257.99
AMZN,12/20/2012,261.5
AMZN,12/21/2012,256.92
AMZN,12/24/2012,258.62
AMZN,12/26/2012,248.63
AMZN,12/27/2012,248.31
AMZN,12/28/2012,245.18
AMZN,12/31/2012,250.87
AMZN,1/2/2013,257.31
AMZN,1/3/2013,258.48
AMZN,1/4/2013,259.15
AMZN,1/7/2013,268.46
AMZN,1/8/2013,266.38
AMZN,1/9/2013,266.35
AMZN,1/10/2013,265.34
AMZN,1/11/2013,267.94
AMZN,1/14/2013,272.73
AMZN,1/15/2013,271.9
AMZN,1/16/2013,268.93
AMZN,1/17/2013,270.48
AMZN,1/18/2013,272.12
AMZN,1/22/2013,270.19
AMZN,1/23/2013,268.11
AMZN,1/24/2013,273.62
AMZN,1/25/2013,283.99
AMZN,1/28/2013,276.04
AMZN,1/29/2013,260.35
AMZN,1/30/2013,272.76
AMZN,1/31/2013,265.5
AMZN,2/1/2013,265
AMZN,2/4/2013,259.98
AMZN,2/5/2013,266.89
AMZN,2/6/2013,262.22
AMZN,2/7/2013,260.23
AMZN,2/8/2013,261.95
AMZN,2/11/2013,257.21
AMZN,2/12/2013,258.7
AMZN,2/13/2013,269.47
AMZN,2/14/2013,269.24
AMZN,2/15/2013,265.09
AMZN,2/19/2013,269.75
AMZN,2/20/2013,266.41
AMZN,2/21/2013,265.94
AMZN,2/22/2013,265.42
AMZN,2/25/2013,259.87
AMZN,2/26/2013,259.36
AMZN,2/27/2013,263.25
AMZN,2/28/2013,264.27
AMZN,3/1/2013,265.74
AMZN,3/4/2013,273.11
AMZN,3/5/2013,275.59
AMZN,3/6/2013,273.79
AMZN,3/7/2013,273.88
AMZN,3/8/2013,274.19
AMZN,3/11/2013,271.24
AMZN,3/12/2013,274.13
AMZN,3/13/2013,275.1
AMZN,3/14/2013,265.74
AMZN,3/15/2013,261.82
AMZN,3/18/2013,257.89
AMZN,3/19/2013,256.41
AMZN,3/20/2013,257.28
AMZN,3/21/2013,253.39
AMZN,3/22/2013,257.75
AMZN,3/25/2013,256.02
AMZN,3/26/2013,260.31
AMZN,3/27/2013,265.3
AMZN,3/28/2013,266.49
AMZN,4/1/2013,261.61
AMZN,4/2/2013,263.32
AMZN,4/3/2013,259.03
AMZN,4/4/2013,259.08
AMZN,4/5/2013,255.48
AMZN,4/8/2013,258.95
AMZN,4/9/2013,261.14
