Symbol,Date,Close
JPM,10/1/2012,40.97
JPM,10/2/2012,40.92
JPM,10/3/2012,40.86
JPM,10/4/2012,41.82
JPM,10/5/2012,41.71
JPM,10/8/2012,41.66
JPM,10/9/2012,41.38
JPM,10/10/2012,41.77
JPM,10/11/2012,42.1
JPM,10/12/2012,41.62
JPM,10/15/2012,42.38
JPM,10/16/2012,42.83
JPM,10/17/2012,43.32
JPM,10/18/2012,43.01
JPM,10/19/2012,42.32
JPM,10/22/2012,42.09
JPM,10/23/2012,41.33
JPM,10/24/2012,41.71
JPM,10/25/2012,41.67
JPM,10/26/2012,41.16
JPM,10/31/2012,41.68
JPM,11/1/2012,42.84
JPM,11/2/2012,42.42
JPM,11/5/2012,42.27
JPM,11/6/2012,42.88
JPM,11/7/2012,40.48
JPM,11/8/2012,40.4
JPM,11/9/2012,40.62
JPM,11/12/2012,40.58
JPM,11/13/2012,40.04
JPM,11/14/2012,39.29
JPM,11/15/2012,39.39
JPM,11/16/2012,39.53
JPM,11/19/2012,40.59
JPM,11/20/2012,40.7
JPM,11/21/2012,40.73
JPM,11/23/2012,41.09
JPM,11/26/2012,40.88
JPM,11/27/2012,40.75
JPM,11/28/2012,40.83
JPM,11/29/2012,41.22
JPM,11/30/2012,41.08
JPM,12/3/2012,40.81
JPM,12/4/2012,40.57
JPM,12/5/2012,41.2
JPM,12/6/2012,41.47
JPM,12/7/2012,42.56
JPM,12/10/2012,42.31
JPM,12/11/2012,42.64
JPM,12/12/2012,42.77
JPM,12/13/2012,42.78
JPM,12/14/2012,42.81
JPM,12/17/2012,43.48
JPM,12/18/2012,43.87
JPM,12/19/2012,43.53
JPM,12/20/2012,44.53
JPM,12/21/2012,44
JPM,12/24/2012,43.92
JPM,12/26/2012,43.96
JPM,12/27/2012,43.63
JPM,12/28/2012,43.24
JPM,12/31/2012,43.97
JPM,1/2/2013,44.66
JPM,1/3/2013,44.57
JPM,1/4/2013,45.36
JPM,1/7/2013,45.41
JPM,1/8/2013,45.5
JPM,1/9/2013,45.47
JPM,1/10/2013,46.15
JPM,1/11/2013,46.14
JPM,1/14/2013,45.88
JPM,1/15/2013,46.35
JPM,1/16/2013,46.82
JPM,1/17/2013,46.44
JPM,1/18/2013,46.46
JPM,1/22/2013,46.54
JPM,1/23/2013,46.23
JPM,1/24/2013,46.37
JPM,1/25/2013,47.16
JPM,1/28/2013,46.64
JPM,1/29/2013,47.12
JPM,1/30/2013,47.13
JPM,1/31/2013,47.05
JPM,2/1/2013,47.85
JPM,2/4/2013,47.68
JPM,2/5/2013,48.79
JPM,2/6/2013,48.61
JPM,2/7/2013,48.23
JPM,2/8/2013,48.63
JPM,2/11/2013,48.66
JPM,2/12/2013,49.14
JPM,2/13/2013,48.68
JPM,2/14/2013,49.22
JPM,2/15/2013,48.88
JPM,2/19/2013,49.45
JPM,2/20/2013,48.61
JPM,2/21/2013,48.25
JPM,2/22/2013,48.91
JPM,2/25/2013,47.7
JPM,2/26/2013,47.6
JPM,2/27/2013,49.28
JPM,2/28/2013,48.92
JPM,3/1/2013,48.91
